prompt,rejected,chosen
I make demands on others.,I agree with this statement.,I do not agree with this statement.
I do just enough work to get by.,I agree with this statement.,I do not agree with this statement.
I find it difficult to get down to work.,I agree with this statement.,I do not agree with this statement.
I make people feel at ease.,I agree with this statement.,I do not agree with this statement.
I am often down in the dumps.,I agree with this statement.,I do not agree with this statement.
I treat all people equally.,I agree with this statement.,I do not agree with this statement.
I change my mood a lot.,I agree with this statement.,I do not agree with this statement.
I rarely get irritated.,I agree with this statement.,I do not agree with this statement.
I believe laws should be strictly enforced.,I agree with this statement.,I do not agree with this statement.
I am not interested in other people's problems.,I agree with this statement.,I do not agree with this statement.
I do things in a half-way manner.,I agree with this statement.,I do not agree with this statement.
I am not easily frustrated.,I agree with this statement.,I do not agree with this statement.
I don't see things through.,I agree with this statement.,I do not agree with this statement.
I pay attention to details.,I agree with this statement.,I do not agree with this statement.
I suspect hidden motives in others.,I agree with this statement.,I do not agree with this statement.
I sympathize with others' feelings.,I agree with this statement.,I do not agree with this statement.
I am indifferent to the feelings of others.,I agree with this statement.,I do not agree with this statement.
I keep my checkbook balanced.,I agree with this statement.,I do not agree with this statement.
I am not really interested in others.,I agree with this statement.,I do not agree with this statement.
I finish what I start.,I agree with this statement.,I do not agree with this statement.
I need a push to get started.,I agree with this statement.,I do not agree with this statement.
I am interested in people.,I agree with this statement.,I do not agree with this statement.
I am annoyed by others' mistakes.,I agree with this statement.,I do not agree with this statement.
I do crazy things.,I agree with this statement.,I do not agree with this statement.
I leave my work undone.,I agree with this statement.,I do not agree with this statement.
I accept people as they are.,I agree with this statement.,I do not agree with this statement.
I feel little concern for others.,I agree with this statement.,I do not agree with this statement.
I act wild and crazy.,I agree with this statement.,I do not agree with this statement.
I leave things unfinished.,I agree with this statement.,I do not agree with this statement.
I get chores done right away.,I agree with this statement.,I do not agree with this statement.
I believe that others have good intentions.,I agree with this statement.,I do not agree with this statement.
I am concerned about others.,I agree with this statement.,I do not agree with this statement.
I panic easily.,I agree with this statement.,I do not agree with this statement.
I contradict others.,I agree with this statement.,I do not agree with this statement.
I carry out my plans.,I agree with this statement.,I do not agree with this statement.
I get back at others.,I agree with this statement.,I do not agree with this statement.
I shirk my duties.,I agree with this statement.,I do not agree with this statement.
I inquire about others' well-being.,I agree with this statement.,I do not agree with this statement.
I show my gratitude.,I agree with this statement.,I do not agree with this statement.
I do not plan ahead.,I agree with this statement.,I do not agree with this statement.
I do things by the book.,I agree with this statement.,I do not agree with this statement.
I am easily disturbed.,I agree with this statement.,I do not agree with this statement.
I am hard to get to know.,I agree with this statement.,I do not agree with this statement.
I often forget to put things back in their proper place.,I agree with this statement.,I do not agree with this statement.
I get upset easily.,I agree with this statement.,I do not agree with this statement.
I break rules.,I agree with this statement.,I do not agree with this statement.
I readily overcome setbacks.,I agree with this statement.,I do not agree with this statement.
I jump into things without thinking.,I agree with this statement.,I do not agree with this statement.
I worry about things.,I agree with this statement.,I do not agree with this statement.
I take things as they come.,I agree with this statement.,I do not agree with this statement.
I find fault with everything.,I agree with this statement.,I do not agree with this statement.
I take offense easily.,I agree with this statement.,I do not agree with this statement.
I take things as they come.,I agree with this statement.,I do not agree with this statement.
I make a mess of things.,I agree with this statement.,I do not agree with this statement.
I dislike myself.,I agree with this statement.,I do not agree with this statement.
I take tasks too lightly.,I agree with this statement.,I do not agree with this statement.
I cut others to pieces.,I agree with this statement.,I do not agree with this statement.
I am inclined to forgive others.,I agree with this statement.,I do not agree with this statement.
I put off unpleasant tasks.,I agree with this statement.,I do not agree with this statement.
I follow through with my plans.,I agree with this statement.,I do not agree with this statement.
I put people under pressure.,I agree with this statement.,I do not agree with this statement.
I feel comfortable with myself.,I agree with this statement.,I do not agree with this statement.
I don't put my mind on the task at hand.,I agree with this statement.,I do not agree with this statement.
I like order.,I agree with this statement.,I do not agree with this statement.
I am not disturbed by events.,I agree with this statement.,I do not agree with this statement.
I do things according to a plan.,I agree with this statement.,I do not agree with this statement.
I am exacting in my work.,I agree with this statement.,I do not agree with this statement.
I take advantage of others.,I do not agree with this statement.,I agree with this statement.
I am out for my own personal gain.,I do not agree with this statement.,I agree with this statement.
I like to tidy up.,I do not agree with this statement.,I agree with this statement.
I hold a grudge.,I do not agree with this statement.,I agree with this statement.
I have a sharp tongue.,I do not agree with this statement.,I agree with this statement.
I leave my belongings around.,I do not agree with this statement.,I agree with this statement.
I try to forgive and forget.,I do not agree with this statement.,I agree with this statement.
I try to follow the rules.,I do not agree with this statement.,I agree with this statement.
I insult people.,I do not agree with this statement.,I agree with this statement.
I have a good word for everyone.,I do not agree with this statement.,I agree with this statement.
I follow a schedule.,I do not agree with this statement.,I agree with this statement.
I love order and regularity.,I do not agree with this statement.,I agree with this statement.
I get stressed out easily.,I do not agree with this statement.,I agree with this statement.
I feel desperate.,I do not agree with this statement.,I agree with this statement.
I love children.,I do not agree with this statement.,I agree with this statement.
