prompt,rejected,chosen
I accept people as they are.,I do not agree with this statement.,I agree with this statement.
I am inclined to forgive others.,I do not agree with this statement.,I agree with this statement.
I am not disturbed by events.,I do not agree with this statement.,I agree with this statement.
I take things as they come.,I do not agree with this statement.,I agree with this statement.
I tolerate a lot from others.,I do not agree with this statement.,I agree with this statement.
I try to forgive and forget.,I do not agree with this statement.,I agree with this statement.
I am concerned about others.,I do not agree with this statement.,I agree with this statement.
I feel others' emotions.,I do not agree with this statement.,I agree with this statement.
I have a soft heart.,I do not agree with this statement.,I agree with this statement.
I make people feel at ease.,I do not agree with this statement.,I agree with this statement.
I sympathize with others' feelings.,I do not agree with this statement.,I agree with this statement.
I am interested in people.,I do not agree with this statement.,I agree with this statement.
I am on good terms with nearly everyone.,I do not agree with this statement.,I agree with this statement.
I have a good word for everyone.,I do not agree with this statement.,I agree with this statement.
I inquire about others' well-being.,I do not agree with this statement.,I agree with this statement.
I know how to comfort others.,I do not agree with this statement.,I agree with this statement.
I love children.,I do not agree with this statement.,I agree with this statement.
I love to help others.,I do not agree with this statement.,I agree with this statement.
I show my gratitude.,I do not agree with this statement.,I agree with this statement.
I take time out for others.,I do not agree with this statement.,I agree with this statement.
I think of others first.,I do not agree with this statement.,I agree with this statement.
I am easy to satisfy.,I do not agree with this statement.,I agree with this statement.
I believe that others have good intentions.,I do not agree with this statement.,I agree with this statement.
I respect others.,I do not agree with this statement.,I agree with this statement.
I treat all people equally.,I do not agree with this statement.,I agree with this statement.
I trust what people say.,I do not agree with this statement.,I agree with this statement.
I believe laws should be strictly enforced.,I do not agree with this statement.,I agree with this statement.
I do things by the book.,I do not agree with this statement.,I agree with this statement.
I like order.,I do not agree with this statement.,I agree with this statement.
I pay attention to details.,I do not agree with this statement.,I agree with this statement.
I try to follow the rules.,I do not agree with this statement.,I agree with this statement.
I accomplish my work on time.,I do not agree with this statement.,I agree with this statement.
I am careful to avoid making mistakes.,I do not agree with this statement.,I agree with this statement.
I do things according to a plan.,I do not agree with this statement.,I agree with this statement.
I keep my checkbook balanced.,I do not agree with this statement.,I agree with this statement.
I like to plan ahead.,I do not agree with this statement.,I agree with this statement.
I return borrowed items.,I do not agree with this statement.,I agree with this statement.
I am always prepared.,I do not agree with this statement.,I agree with this statement.
I am exacting in my work.,I do not agree with this statement.,I agree with this statement.
I continue until everything is perfect.,I do not agree with this statement.,I agree with this statement.
I follow a schedule.,I do not agree with this statement.,I agree with this statement.
I get chores done right away.,I do not agree with this statement.,I agree with this statement.
I like to tidy up.,I do not agree with this statement.,I agree with this statement.
I love order and regularity.,I do not agree with this statement.,I agree with this statement.
I make plans and stick to them.,I do not agree with this statement.,I agree with this statement.
I carry out my plans.,I do not agree with this statement.,I agree with this statement.
I complete tasks successfully.,I do not agree with this statement.,I agree with this statement.
I finish what I start.,I do not agree with this statement.,I agree with this statement.
I follow through with my plans.,I do not agree with this statement.,I agree with this statement.
I am not easily frustrated.,I do not agree with this statement.,I agree with this statement.
I am relaxed most of the time.,I do not agree with this statement.,I agree with this statement.
I feel comfortable with myself.,I do not agree with this statement.,I agree with this statement.
I readily overcome setbacks.,I do not agree with this statement.,I agree with this statement.
I seldom feel blue.,I do not agree with this statement.,I agree with this statement.
I am not easily bothered by things.,I do not agree with this statement.,I agree with this statement.
I take things as they come.,I do not agree with this statement.,I agree with this statement.
I rarely get irritated.,I do not agree with this statement.,I agree with this statement.
I seldom get mad.,I do not agree with this statement.,I agree with this statement.
